amazon.com, 205.251.242.103
sohu.com, 123.125.116.28
tudou.com, 106.11.43.215
wordpress.com, 192.0.78.9
apple.com, 17.253.144.10
yahoo.co.jp, 183.79.250.123
ebay.com, 209.140.136.254
windows.com, 20.112.52.29
fc2.com, 199.48.210.151
paypal.com, 64.4.250.37
hao123.com, 110.242.69.86
tmall.com, 59.82.122.115
56.com, 183.232.65.145
sogou.com, 119.28.109.132
pps.tv, 116.211.199.233
xunlei.com, 121.41.61.107
ifeng.com, 82.156.59.186
goo.ne.jp, 114.179.184.93
bbc.co.uk, 151.101.64.81
yandex.ru, 77.88.55.60
myspace.com, 34.111.176.156
mail.ru, 94.100.180.201
cnet.com, 34.149.196.126
go.com, 23.236.60.174
about.com, 151.101.130.137
4399.com, 129.211.129.109
skype.com, 20.103.85.33
orkut.com, 216.239.36.21
ameblo.jp, 199.232.214.133
naver.com, 223.130.195.200
flickr.com, 18.154.92.126
ku6.com, 117.50.1.222
4shared.com, 204.155.149.41
amazon.co.jp, 52.119.164.121
linkedin.com, 13.107.42.14
dailymotion.com, 195.8.215.136
imdb.com, 52.94.237.74
aol.com, 98.136.103.23
youtube.com, 142.250.72.78
yahoo.com, 74.6.231.21
live.com, 204.79.197.212
wikipedia.org, 208.80.153.224
facebook.com, 157.240.28.35
msn.com, 204.79.197.219
baidu.com, 39.156.66.10
blogspot.com, 142.250.69.233
microsoft.com, 20.81.111.85
qq.com, 183.3.226.35
hotmail.com, 204.79.197.212
360.cn, 36.110.213.10
taobao.com, 59.82.122.115
facebook.com, 157.240.28.35
bing.com, 13.107.21.200
craigslist.org, 208.82.237.129
youtube.com, 142.250.72.78
sina.com.cn, 36.51.254.91
alipay.com, 110.75.139.5
yahoo.com, 74.6.231.20
soso.com, 119.28.109.132
soku.com, 106.11.47.20
softonic.com, 35.227.233.104
live.com, 204.79.197.212
163.com, 123.58.180.8
weather.com, 23.37.97.89
alibaba.com, 47.246.137.166
nifty.com, 222.158.213.148
wikipedia.org, 208.80.153.224
ask.com, 151.101.70.114
megaupload.com, NOT_RESOLVED 
imageshack.us, 208.94.3.18
msn.com, 204.79.197.219
adobe.com, 23.222.27.34
cnn.com, 151.101.131.5
baidu.com, 39.156.66.10
twitter.com, 104.244.42.1
livedoor.jp, NOT_RESOLVED 
renren.com, 120.133.12.123
blogspot.com, 142.250.69.233
tianya.cn, 124.225.206.22
mozilla.com, 44.235.246.155
blogger.com, 142.250.72.73
mywebsearch.com, 34.117.28.143
microsoft.com, 20.81.111.85
vkontakte.ru, 93.186.225.194
youku.com, 106.11.43.71
qq.com, 123.151.137.18
sdjjdsaf.com, NOT_RESOLVED 
answers.com, 151.101.0.203
zynga.com, 18.164.154.106
taobao.com, 106.11.226.158
andysayler.com, 159.89.253.85
rapidshare.com, 0.0.0.0
hp.com, 15.72.80.135
bing.com, 204.79.197.200
wmfo.org, 23.92.21.128
partypoker.com, 195.72.135.91
daum.net, 211.249.220.24
sina.com.cn, 36.51.254.91
walmart.com, 161.165.150.170
kugou.com, 49.7.81.5
soso.com, 119.28.109.132
2345.com, 180.101.190.147
7k7k.com, 157.185.175.102
ebay.de, 209.140.136.254
163.com, 123.58.180.7
photobucket.com, 18.160.143.73
ask.com, 151.101.70.114
mediafire.com, 104.16.53.48
orkut.com.br, 137.116.211.8
adobe.com, 23.222.27.20
hotfile.com, 18.207.9.28
ehow.com, 104.79.155.62
twitter.com, 104.244.42.193
youdao.com, 103.74.50.106
seesaa.net, 18.160.143.6
mozilla.com, 44.236.48.31
qiyi.com, 111.206.13.63
youku.com, 106.11.43.71
jp.msn.com, NOT_RESOLVED 
sdjjdsaf.com, NOT_RESOLVED 
andysayler.com, 159.89.253.85
wmfo.org, 23.92.21.128
paipai.com, 111.13.24.120
rakuten.co.jp, 133.237.16.234
pconline.com.cn, 183.61.120.237
odnoklassniki.ru, 217.20.147.1
